WATERBODY_ID,VERSION,DATE_RETRIEVED,UP_STREAM,DOWN_STREAM,IMMEDIATE_UP_STREAM,IMMEDIATE_DOWN_STREAM,CATCHMENT_LENGTH,WATERBODY_NAME,WB_TYPE_NAME,Easting,Northing,NGR,BB_MAX_X,BB_MAX_Y,BB_MIN_X,BB_MIN_Y,HMD_NAME
GB104027057420,2,13/09/2013,,"GB70410278, GB70410281, GB104027057452, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB70410278,,Greasbrough Dike from Source to River Don,River,440940,396305,SK4094096305,443265,397173,437387,393961,Heavily Modified
GB104027057430,2,13/09/2013,,"GB70410281, GB104027057452, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057452,,Hooton Brook from Source to River Don,River,448332,396578,SK4833296578,449183,397440,446768,394604,Heavily Modified
GB104027057440,2,13/09/2013,,"GB70410281, GB104027057413, GB104027057452, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057413,,Blackburn Brook from Source to River Don,River,436150,395392,SK3615095392,439339,396990,434372,391281,Heavily Modified
GB104027057452,2,13/09/2013,"GB70410278, GB104027057760, GB104027057771, GB104027052280, GB104027057290, GB104027057301, GB104027057310, GB104027057320, GB104027057413, GB104027057420, GB104027057430, GB104027057440, GB104027057460, GB104027057620, GB104027057630, GB104027057640, GB104027057660, GB104027057670, GB104027057772, GB104027057773, GB104027057340, GB104027057360, GB104027057370, GB104027057380, GB104027057390, GB104027057400, GB104027057411, GB104027057412, GB104027057490, GB104027057500, GB104027057530, GB104027057700, GB104027057710, GB104027057720, GB104027057730, GB104027057740, GB104027057750, GB104027057490, GB104027057290","GB70410281, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203","GB70410278, GB104027057413, GB104027057430, GB104027057772",GB104027064242,,Don from River Rother to River Dearne,River,445705,395553,SK4570595553,450309,400097,442490,391967,Heavily Modified
GB104027057460,2,13/09/2013,,"GB70410281, GB104027057413, GB104027057452, GB104027057411, GB104027057412, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057411,,Little Don from Source to River Don,River,425677,399078,SK2567799078,429058,400622,417021,397945,Heavily Modified
GB104027057470,2,13/09/2013,,"GB70410281, GB104027063173, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027063173,,Knoll Beck from Source to River Dearne,River,440578,401660,SE4057801660,443605,402189,438342,399507,Heavily Modified
GB104027057480,2,13/09/2013,,"GB70410281, GB104027057510, GB104027063173, GB104027064242, GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027057510,,Rockley Dike from Source to River Dove,River,434314,402724,SE3431402724,434627,403394,429360,400257,Heavily Modified
GB104027057591,1,13/09/2013,"GB104027063200, GB104027063240, GB104027063280, GB104027063140, GB104027063140","GB104027064243, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203","GB104027063200, GB104027063280",GB104027064243,,Ea Beck from the Skell to River Don,River,455034,408146,SE5503408146,460263,410890,452810,408026,Heavily Modified
GB104027057600,2,13/09/2013,,"GB104027062631, GB104027062632, GB104027062550, GB104027063301, GB104027062760, GB104027064270, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027063301,,Holme from Source to New Mill Dike,River,412632,407066,SE1263207066,415288,410231,409852,402971,Heavily Modified
GB104027057610,2,13/09/2013,,"GB104027062631, GB104027062632, GB104027062550, GB104027063301, GB104027062760, GB104027064270, GB640402492000, GB640402491000, GB530402609201, GB530402609202, GB530402609203",,GB104027063301,,New Mill Dike from Source to River Holme,River,416289,407752,SE1628907752,416427,410231,415287,404985,Heavily Modified
